Username,comment
Neymann Ranjøz,"All KENYANS are BABA'S AMBASSADORS, we are only left with 176 days before we walk to STATE HOUSE with him. This the year that Kenyans were waiting for, true changes are coming and AGWAMBO is ready to be our next COMMANDER IN CHIEF. Udaku ambassadors are ready to be on the other side of opposition and Kenyans are happy about it."
Midana Mresh,They Will hire them using taxpayers money expect cooking oil to sky rocket to 2000shillings😒
Mworia Nyoni,Múngîroharagana ta mai ma Therú.
Amo Umoja,BABA will win by alandslide take this to the Newyork bank
Isaac Muroki,Twist and turns like the bold and the beautiful.. Kuna watu watakarangwa Sana! Hapa haijarishi Kama ground utakuwa na say Kuna watu not campaigning na watapita tu. Kwanza ma mps mko pabaya
Anthony Mburu,Na mtu akiitwa PROJECT mnazusha..!!
Professor Peter Cephas,https://youtube.com/c/PUKTTAMEDIA
Grace Mumbua,Grace Mumbua
George Andiego Ali,Azimioooo ndani ndani ndani ndani
Ken Osango,Too many scheming overlooking the electorate is surely spoiling the broth. They should scheme by convincing us what better they can do for us and not just scheming for the purpose of remaining in the system.
Gerald Gichia,"How is it a shocker?The owners of the party clearly has a right to nominate who he believes can serve his interests,otherwise one is free to form your own party or avoid going in their parties."
John Githui,Kenyans problems in one picture
Joanne Nanjala,Na mjue uhuru has over 50%shares in NTV
Ochieng Ochiel,"Bring it on, provided kura iko kwa baba.."
Jose Jose,They are the ones who will be shocked first with their secret plans
Maalinki Hassanow,Assmio will never defeat hustler
Kipkirui Felix,Ruto is Next president
Samuel Saimon,Ruto my nxt president
Albert Kariuki,not yet Uhuru
Bro Paul Munyao,Uda
Kelsea Kageha,Useless ASSmio 🤣😆 🇰🇪🇰🇪 UDA ANC Fk 💥💥💥💥💪🏾💪🏾
Horace Gwako,Ruto My President
Wa Muturi Na Chege,Say no to assmio
Thomas Hamisi Aka Deheart,Raila the 5th
