User,Reply,Likes,Retweets
MutumaMutuma5,@StandardKenya Hii ni noma sana,0,0
Quiplane_1,"@StandardKenya Planting mine already, by the time wajacko something  bcomes the 5th,  it'll be harvesting season. Wagwan maaahn",0,0
jeffgnbi,@StandardKenya I thought uhuru legalized bang…during his first term?,0,0
nkimanga,@StandardKenya All hail Wajackoyah the 5th,0,0
johnmkeya,@StandardKenya Disasterous president,0,0
DeeKirwa,@StandardKenya Jamaa alegalise omusala bana😅,0,0
PeggyJo99873394,@StandardKenya Kenya is blessed with brains.,0,0
GeorgeOdiga,@StandardKenya My wish is get Prof's break down,0,0
Joe86046738,@StandardKenya Wajackoya has my vote. Jah bless,0,0
BarakaChacha16,@StandardKenya Good,0,0
EricMugali,"@StandardKenya Bangi mingi. Anavuta, kunywa na kula pia. Pole kwake. Kiti hatapata.",0,0
Gee_njogu,@StandardKenya The 5th,0,0
jacobmuthami5,@StandardKenya Clearly the guy is high.,0,0
SamuelKomesha,@StandardKenya Have been listening to his arguments and thought he has some loose nuts but now I know he is actually insane.,0,0
ngau_muia,@StandardKenya That's maddness,0,0
mukurubrian1,@StandardKenya Makofii https://t.co/StLJb9XxWI,0,0
AfricisOrg,"@StandardKenya Kenya doesn't need even One PM, leave alone 8. Again, why suspend the constitution instead of fully implementing it?",0,0
Mutant_Githinji,@StandardKenya @iamjoseh_ Tunapenda jokes,0,0
petergathua64,@StandardKenya He needs a mental check up,0,0
oogafelix,@StandardKenya You mean I will still work on Monday☹️☹️☹️,0,0
Chebelyon2,@StandardKenya The guy is smoking his bang stock. Awachane na sisi akavutie mbali,0,0
bryan_ayumba,"@StandardKenya Hehehehe this will be a banana republic but why not.

Suspend the constitution and then wacha tuive kabisa",0,0
Mathewopondo,@StandardKenya He lives in a world of fantasy.,0,0
GMwaniki1,@StandardKenya You just confirmed the all politicians aren't of sober minds.... but your crazy is better than the o… https://t.co/nZRTDwKQRo,0,0
1442denishill,@StandardKenya @pikaso_me screenshot this,0,0
Damian_Uno,@StandardKenya @Alemutie kura kwake,2,0
itskamaufrank,@StandardKenya The people's President,0,0
august15882498,@StandardKenya Did he just wake up and thought that Kenya is a joke😂😂😂,0,0
kigenalex5,@StandardKenya disorganised thought process..,0,0
pingache,@StandardKenya @steve_egess Such radical pledges and non about sending the fat cats to prison.,1,1
bayjayday,@StandardKenya Dead on arrival!,0,0
kobwar,@StandardKenya Walo mar atari,0,0
GideoRuto,@StandardKenya This one will make me vote.,0,0
aquabizy,@StandardKenya The 5th👏,0,0
WakoJoel,"@StandardKenya Prof. George Wajackoyah is looking for votes from criminals. If it were possible to be President, he… https://t.co/T1Z7XnFukN",0,0
deengayo,@StandardKenya @GichuhiwaNjogu https://t.co/GCHa3Pjsgu,0,0
mani1728mani,@StandardKenya Hiyo mmea ni risky 😂😂,0,0
Silas_Oriaso,"@StandardKenya 😂😂😂😂
See what jaba has done to @glwajackoyah",0,0
zamundira,@StandardKenya Wagwan,0,0
Wangarikimemia2,@StandardKenya Suspend the Constitution???... I was with him on marijuana then he lost me.,0,0
DavidGichiri2,@StandardKenya Nonsense,0,0
SymonMwas10,@StandardKenya @OmarLali_ Hello we are looking for 10 individuals who are willing and  can work with us  either par… https://t.co/TCGRlPfiX2,0,0
JoshuaOgola254,@StandardKenya Effects of excessive use of bhang when giving speeches,0,0
timmuia1,@StandardKenya Wueh! Not here labda hell,0,0
NdegwaU,"@StandardKenya This is the man we were promised to deliver is, ....your highness unasema kutoka fri-sun ni sherehe smoke and booze.",0,0
EricOch08129330,@StandardKenya Count my vote..'Mr President ',0,0
BoazAduda,@StandardKenya Hio ndio type ya bangi tunahitaji....statehause ndaniiii by 6am,0,0
tonnyOloo6,@StandardKenya Hehehehe,0,0
steve_egess,@StandardKenya Eih! Kenya earth is becoming hard,0,0
British_mpenzi,@StandardKenya Definitely he uses a lot of the bhang,0,0
NiqueAnthony,@StandardKenya U can already see how bad bhang is,0,0
MarkMkadinali,@StandardKenya Apunguze study days pia😁,0,0
BarbierJoel2,"@StandardKenya @Ali_Manzu Hii ndio shida ya watu ati maprofesa frm Kenya...wajackoyo, kisiangani ee when other prof… https://t.co/j7OdVcNXrW",0,0
OdongoAlfie,@StandardKenya The 5th 😊,0,0
Shaka39740452,@StandardKenya Is he out of his damn mind?,0,0
Only1Marvin,@StandardKenya All i see when i look at this guy is bhang😂😂,0,0
Maichlawkey,@StandardKenya I have this conspiracy lingering in my head. What if this beef between Azimio and Hustler is just a… https://t.co/8OqUT3alVm,0,0
mukopita,@StandardKenya * when we tell you masomo mingi no mbaya yoi think its a joke,0,0
Rickymutinda,@StandardKenya Chama ni gani?,0,0
OKOTHONIMO,"@StandardKenya Now am discussing whether I should stick to my candidate Nixon kukuboh,or switch sides to join wajackoya the great.",0,0
itzcharloh,"@StandardKenya From the statement, it looks like he used bhang to get the ideas",0,0
jefflome,@StandardKenya Huyu ndiye tutachagua sasa,0,0
SikoliaKe,@StandardKenya The 5th,0,0
MukitiPower,@StandardKenya Mwambie aendelee kuvuta pole pole👌,0,0
DarwinJumah,@StandardKenya And you are posting this as a news or as a RELIEF?.....your son's will vote for this Pumpkin.beacuse… https://t.co/y7lqBt8lCK,1,1
ManLikeThakwa,@StandardKenya Hapo kwa legalizing bhang ndio ana make sense 🤦🏾‍♂️,1,0
MuthomiNathanie,"@StandardKenya Wajakoya followers. See below 😃 😀 🤣 🤣 😁 😂 😂 

https://t.co/X2zGAl4FFH",0,0
VincyMboya,@StandardKenya Ati suspended the constitution?why? For 6 months?,0,0
lkngiema,@StandardKenya Suspend constitution? As in?,0,0
Munenesamuel_,@StandardKenya 😂😂😂 wachani Bangi,0,0
ythera_Gichuru,@StandardKenya His highness,0,0
DennisCheptilis,@StandardKenya He has my vote without objections.....😂😂😂,0,0
Freddy_Musyoka,"@StandardKenya My President there. At last I got a reason to vote😂😂
Marijuana ni dawa",1,0
joackim_otieno,@StandardKenya Please just hold it there,0,0
mwafriqamkenya,@StandardKenya suspend the constitution? seems confused,0,0
collinsBnjue,@StandardKenya @DCI_Kenya scrutinize his papers and sue him for destroying Kenyan mind,0,0
mlikamwizi,@StandardKenya I think Prof. maybe doing a study on how people believe political rubbish and still vote...na baado atapata kura nyingi,1,0
imoriasi,@StandardKenya Vitu mzuri tu,0,0
agawowilliam,@StandardKenya You sampled the manifesto (hapo kwa bangi) before posting…,0,0
mesa_mesa5,@StandardKenya I will vote you in.,0,0
FrancisShillah,@StandardKenya Wajackoyah the 5th 💪 https://t.co/LSuNTPcsXT,0,0
oliverabonyo,@StandardKenya Whatever you are using is already legal prof....,0,0
AtindaMike,@StandardKenya Aulize Babu Owino,0,0
AtindaMike,@StandardKenya Hiyo ndiyo shida ya weed,0,0
kibunjax,@StandardKenya 😂😂...very realistic and implementable manifesto,0,0
oneskikoto1,@StandardKenya you want to be president and you are not doing any rallies,0,0
NzuvaMutuku,@StandardKenya In which country,0,0
KyleTeo1,@StandardKenya The band in him is already depicting detrimental effects.he might as well close the country and send everyone home,0,0
GPO_Patrick,"@StandardKenya Nigga, how high are you 😂😂😂",0,0
HamWambui,@StandardKenya úyú ní agúrúka ríu,0,0
Biomedic19,@StandardKenya Better he Stops embarassing the Kenyas education and focus as Prof.,0,0
benedict_mwenga,@StandardKenya That's laughable,0,0
KevotisB,@StandardKenya Wajakoyah nipee kazi,0,0
kaboyoKaboyo1,@StandardKenya 🤡🤡🤡,0,0
Skyfay21,"@StandardKenya My one vote, he has it! This is the guy, but am a little confused on the 8 PMs bit, ama he meant CSs… https://t.co/IlAjhqzYrd",0,0
OlaleMac,@StandardKenya Every market has its mad man!,0,0
ALLKENYAN2,@StandardKenya Sounds like a con,0,0
lavien66,@StandardKenya 🥺🥺🏃🏃🏃,0,0
vincent_keiyh,@StandardKenya My president of choice is here yourhs should elect this man,0,0
76manuela,"@StandardKenya Hehehe, this is a rich joker",0,0
chrochjk,@StandardKenya Madness at its height,0,0
Eric70179434,@StandardKenya Insanity,0,0
Sam81794997,@StandardKenya Si tujaribu huyu. I would rather a mad man than a thief or aging project,0,0
jacklozo1,@StandardKenya The 5th for sure I love the manifesto,0,0
stephenmutava,"@StandardKenya The house on the hill will have a new pendlor,this will push Kenya high,I can see business opportuni… https://t.co/DUrBpj9vEN",0,0
Ski_ptical,"@StandardKenya Using the word ""bhang"" to make it look like it's criminal, smdh",0,0
reddosukre,@StandardKenya Apewe asap.,0,0
Vevenock,@StandardKenya 😂,0,0
OnlineAdela,@StandardKenya https://t.co/qefHRMbmo3,0,0
ElviceOO,@StandardKenya now i have a reason to participate in the coming election. @IEBCKenya where can I register as a voter in kamukunji.,1,0
kamaadaudi,@StandardKenya Nani ananusia legalisation kama mimi,0,0
shemoh5,@StandardKenya Foolish man!,0,0
YisaaNympha,@StandardKenya Amechanganyikiwa Kama weta akichabwa na bibi😎,0,0
XkillaG,@StandardKenya https://t.co/tC4StN4XG4,0,0
Abdimat3,@StandardKenya God forbid!!!,0,0
AlfredThumbi11,@StandardKenya @Ali_Manzu How can a prof.dream at midday when sun is vertically overhead the equator.....,0,0
thayoungShark,@StandardKenya Wajackoyah the 5Th.,0,0
DanielKaruga6,@StandardKenya Why do you give attention to mad People😹😹👌,0,0
andrewem5,@StandardKenya Is this the same guy on Spice TV? He is a joke!,0,0
Mumo____,@StandardKenya nilikua nashangaa nitapigia  nani kura😂,0,0
Kushtwit1,@StandardKenya Which respectable country is servicing her foreign debt from proceeds of crime or the sale of narcot… https://t.co/qh85hsnbxs,0,0
El_ochwal,@StandardKenya @DownloaderBot,0,0
GDeknow,@StandardKenya this are some of individuals who make stoners look nerd😂😂,0,0
GitongaMugambi5,@StandardKenya Suspend wat... Am voting this profesa,0,0
wchege2,@StandardKenya Is it only me who doubts this dude's academic credentials? This former chokora overates himself; he'… https://t.co/ibFTvXZgpk,0,0
itsNotmetoday44,@StandardKenya Huyu ile alivuta haijawai shuka. bado anaona akiwa prezo na ile story alianza wakati zilimraruka bado ako Kwa hiyo dream.,0,0
LadyBilha,"@StandardKenya ""..suspend Constitution in first 6 months, Kenya's working days to be Monday-Thursday only"".. Always under the influence",0,0
Martcharismatic,"@StandardKenya Aaaaii Prof bwana!!…let’s also legalize prostitution,for REAL!",0,0
MWNj7,@StandardKenya Na bei ya bhang ndio bado hajatangaza kama Raila na ile wazimu yake ya 6000/-,0,0
bkairu5,@StandardKenya It's now officially a 3 horse race.,1,0
michealobegi,@StandardKenya @gavin_k3 I like the idea 😂,0,0
alialwy419,@StandardKenya Me nataka niende campaigns zake,0,0
nderito9,@StandardKenya This is marinated weed.,0,0
OsibaJeff,@StandardKenya Signs of madness,0,0
MwauraMungaiOch,@StandardKenya The DCI and KRA screen shots reloaded.,0,0
ElijahKochung,@StandardKenya Why just bang prof . And not any other thing that can also generate revenue.,0,0
lwanjiru,"@StandardKenya Request him to add:
Monthly stipend of 10k for every Kenyan adult
Suspend exams
Abolish taxes or mak… https://t.co/pDIbZBwRbP",0,0
ayogo_do,@StandardKenya Laughable!,0,0
AwendoAntone,@StandardKenya Bangi sio managu,0,0
iamYazzOfficial,@StandardKenya No jobs for the youth no opportunities just bhang and vibes.,0,0
frozydimpozz,@StandardKenya 😂😂😂,0,0
NgugiNorbert,@StandardKenya Kwani anavurutaga ile bang ya oloitoktok??,0,0
nahagito,@StandardKenya Ici nício bangi iria túrabatara búrúri úyú gwa kahinda oro kanini.,1,0
Daktarichiro,"@StandardKenya I take the 5th 🤣
Jah Love 🌱",0,0
josphat_kirango,@StandardKenya The more reason now we see a problem with bhang,0,0
KARURUKANJA,@StandardKenya Is true that bhang works well😂😂as per his statement s,0,0
Bomorize,@StandardKenya Aache kuvuta Bhangi before legalizing it,0,0
chege_kinuthia,@StandardKenya Everything was okay till I re-read it again and saw 8 prime ministers. 🙆🏾‍♂️,0,0
Wangigy1,@StandardKenya Watu wa azimio are cry babies.They have already started propagandas on this guy.hawaelewi jokes,0,0
SMclanhan,@StandardKenya Give this man the presidency👏🏿👏🏿👏🏿,0,0
ItsMayakah,@StandardKenya How many did you smoke 🚬 today???,0,0
Yunus21881569,@StandardKenya Huyu jamaa amevuta too much. Mwambie atoe lock kwanza.,0,0
eunice_pickett,@StandardKenya He is high on something I think😎,0,0
AskMosez,@StandardKenya And Friday is Bhang day for planting and harvesting !!!! 🤣🤣,0,0
LinosCaure,@StandardKenya my Kanyans pls don't fall for this kind of lies because our president @NAkufoAddo 🇬🇭  used this same… https://t.co/tucADjlzaE,1,0
jcslimfit,@StandardKenya We ain't Jamaica,0,0
GilsonOchieng,@StandardKenya Enyewe bhangi ndio zake,1,1
amainachege,@StandardKenya @johnnjenga you got your candidate here,0,0
wuoguso,@StandardKenya This is a mad man,0,0
MordockK,@StandardKenya Don't you think he is running a good position but in wrong country? I like the Monday-Thursday week… https://t.co/BYQuXgxl6M,0,0
Boringo_Nangae,@StandardKenya He has my vote 👊😊,0,0
GraceGichuki8,@StandardKenya Indeed he has consumed the product 😜😜,0,0
mmwangiJ,"@StandardKenya A candidate I can vote for.

And no one calls it 'BHANG'.",0,0
poldove,"@StandardKenya Yes; Friday, Saturday bangidays",0,0
abdirahmanoor,@StandardKenya ....... the good Prof. is already smoking the legalized raw marijuana.....,0,0
kimsmann,@StandardKenya I will vote for this prof...at least now we have a candidate with tangible pledges,0,0
amoskerema,"@StandardKenya Enough man, now pass the blunt",0,0
Alfredk56928074,@StandardKenya Count my vote,0,0
GilbertCheryot2,"@StandardKenya Wadau mumekulia hii
Download leja app from playstore register,tab on yes and enter the code BPL500 t… https://t.co/tlYc4hlErn",0,0
alexarshavin,@StandardKenya The 5th? https://t.co/Qr43d4haFT,0,0
wanga08,@StandardKenya @solo_ambuku The coming Presidential debate will be the comedy of the Century😂😂😂🤗,0,0
Josechamakh,"@StandardKenya Hapo kwa working Mon-Thu I support, it's long overdue. Evidently esp in the public service people ar… https://t.co/eDw2w1Yz2H",2,0
odhismoto,@StandardKenya His greatness,0,0
SifuMsafiri,@StandardKenya The more reason people should stay away from weed. This dude exemplifies the dangers of smoking the illegal substance!!,5,1
JOHN_Manthi_,@StandardKenya where do we send our applications for the 8 PM Jobs? I assume that six of these PMs have to be youth,0,0
wanga08,@StandardKenya @solo_ambuku 😂😂The potent stuff Prof burns is quite sth....8 Prime Ministers?Where else in the world… https://t.co/1h8b0Zz46h,0,0
otungocolleens,@StandardKenya Good manifesto,0,0
stupidmoviecrit,@StandardKenya we not ready for all this 🙅🏿,0,0
JOHN_Manthi_,@StandardKenya His excellency the 5th what will you do about the girls eating men's fare. And is there a way you ca… https://t.co/rwEJyW738r,0,0
BarazaNaboth,@StandardKenya Sometimes tukuwange Serious,0,0
MasudIssack,@StandardKenya A professor on crack😂😂😂,0,0
nyakwarnyaronga,@StandardKenya I think those prime minister will replace cs,0,0
Flex29108630,"@StandardKenya Huyu heri nifinywe kwa line lakni nimvotie,By saa mbili asubuhi atakua state house,Kibhangi hadi juu ya police station",0,0
davidmusembi399,@StandardKenya This one is already high,0,0
SteveOnyangoII,@StandardKenya Zima hiyo kitu 😂,0,0
lukekiema1,@StandardKenya Not even in a State of Emergency the Constitution can be Suspended!!,1,0
magnateDennis,"@StandardKenya Damn ,he should have been sworn in like yesterday 🤣",1,0
K_iprono,@StandardKenya BBI and youth support,0,0
Oslo_siraaji,@StandardKenya Its only personal dream and opinion,0,0
Owino01467882,"@StandardKenya kwani sometimes mtu akisoma saaaana hua anatupa mbao kiasi? kwanza hii ya ""sell bhang to pay debts"".… https://t.co/XnASPkfOXe",0,0
erick_omurwa,@StandardKenya @KING__KENNY02 Bomboclaaat!,0,0
MachedaToby,@StandardKenya Wajakoyah the 5th,0,0
WaHesabu,"@StandardKenya And he wrote this manifesto when high🤣🤣🤣🤣.We work Monday to Thursday, then from Friday ni kushikisha tu........",0,0
edmonddodi23,@StandardKenya Completely mad professor! Take him to mathare I see the kind of professor he is 🤔🤔🤔🤔,0,0
Iganjo_Mutahi,"@StandardKenya Say no more, you got my vote",0,0
wangari_lorna,@StandardKenya I like his peddler already,0,0
NikHanir,@StandardKenya uyu ana sound serious,0,0
Abikar114,"@StandardKenya Legalise bhang - ❔
Have 8 prime ministers - ❌
Sell bhang to clear country’s loans - ❔
Personally ser… https://t.co/kgXRHqoTxZ",1,0
nashoyoo1,"@StandardKenya Here comes the 5th, 😂",0,0
shockwevv,@StandardKenya Akili mtu wangu,0,0
t_Projectile,@StandardKenya I might vote him in,0,0
Carl_Blownup,@StandardKenya @pikaso_me screenshot this,0,0
Mohanourali,"@StandardKenya Hiyo Monday to thursday, its tempting",0,0
komba_mwiko,@StandardKenya https://t.co/FwoEAUFTs2 how will you be able to this,0,0
1RikkyRixx,@StandardKenya I support your ambition....sana Sana hapo Kwa weed😂,0,0
katambani_ak,@StandardKenya Apart from suspending the constitution the rest ziko Sawa hahaha,0,0
IanAmoshe,"@StandardKenya Zima io kitu prof 😂, unachoma!",0,0
bettnethan,@StandardKenya @Colonel_edu Gonna win by a landslide,0,0
MutindaRay,"@StandardKenya This guy almost made me regret why I vowed not to ever vote in this country, but I just remembered A… https://t.co/9eaHNPEywm",0,0
ole_abdinoor,@StandardKenya Unacceptable crazy pledges,0,0
SifunaBarasa2,@StandardKenya Welcome to the zombie world,0,0
OchwangiEd,@StandardKenya I like these ideas,0,0
Jeff74125113,@StandardKenya Bangi ppunguza prof,0,0
akalaopondo,@StandardKenya Prof. Wajackoyah the 5th!,1,0
MwendarV,@StandardKenya Hail Wajackoyah✊🏾,2,0
Edu_Mkenya,@StandardKenya Amevuta bhang. Kujieni colleague wenu @ahmednasirlaw @kipmurkomen @steveogollaw,0,0
Itstheiconic,@StandardKenya we definitely have a leader here,1,0
LayOtieno,@StandardKenya This one is just an attention seeker as always. Loves publicity,0,0
dickychama,@StandardKenya This calls for celebration....alaaaa https://t.co/whYV5ns7KI,6,1
Komolo_,@StandardKenya Ala!! 😂,0,0
tmanjoy,@StandardKenya Pwahahahahaha my rib cage!!!!,0,0
kanja_paul,@StandardKenya Wajackoyah to the World! Anyday to get rid of this tiresome Garbage 🗑️🗑️,0,0
deniskithinji91,@StandardKenya https://t.co/CipIWMfa93,1,0
adiema_gabriel,@StandardKenya He has a clear vision how he’s going to tackle Kenya’s debt burden.,0,0
CliffRhodah,"@StandardKenya Finally,the 5th has spoken.",0,0
ultradjango,@StandardKenya Huyu kwani no cuzo ya Kanye,0,0
MosesNaliakho,@StandardKenya When you use bang for long it reverts your thinking.,0,0
arlingmark,"@StandardKenya If ""talking from experience"" was a person.",0,0
dansirkal_96,"@StandardKenya So what you saying Is, basically his agenda is bhang",0,0
PeterMusyimi7,@StandardKenya Kenya sihami,0,0
kwabwire,"@StandardKenya He has my vote, period!",0,0
eliudmb71475375,@StandardKenya Lunatics are many in our midst,0,0
kpl03272,@StandardKenya Maajabu hayo. Prof; please make it simple for a layman to understand. Katika yote hayo kitu wanainch… https://t.co/x7AHqoXHO2,0,0
kong8900,@StandardKenya Hii Kenya ina vioja. Sasa huyu anasema nini.,0,0
ProtusMiriti,@StandardKenya Waooh at last! The 5th.,0,0
martinkasamba,"@StandardKenya I could vote for him,if he were to abolish taxation",1,0
isaonyango,@StandardKenya Wajackoya the 5th. Very progressive,0,0
RiskyJohn3,@StandardKenya Bangi imetufikisha apa,0,0
gkarani,@StandardKenya Finally The proper 5th,0,0
SharmaakeJama,@StandardKenya Whatever he is smoking will be great for Kenya.,0,0
roughmaeri,@StandardKenya Inside AZIMIO we have  prof. George Wajackoyah,1,1
rigs12,@StandardKenya @gabrieloguda should see this man's manifesto.,0,0
Fantast48493303,@StandardKenya @ZXscreens,0,0
valdaramahh,"@StandardKenya Would make economic sense, it's a billion dollar industry globally, unfortunately Kenyans are 100% N… https://t.co/gAWsNSmFUy",0,0
roughmaeri,@StandardKenya the fifth...,1,1
Phil_TheBigman,@StandardKenya @ClintonMurila Huyu naye hawes make 😅😅,0,0
barbaraatieno,"@StandardKenya My president,, finally",0,0
Shivelenjejumba,@StandardKenya Wapi makofi,0,0
PWamaria,@StandardKenya @WangsEugene Already he has smoked the weeeed!!@,0,0
Fidel66045804,@StandardKenya Hapa ndio Kuna deal,0,0
DanielKemei9,@StandardKenya Apewe,0,0
odonya,"@StandardKenya 😂 😂 Clearly this one is using the same bang, since it will be legal we probably won't realize he wil… https://t.co/lql38iG3Xx",0,0
samuelkimaniki1,@StandardKenya I was planning on wasting my vote lakini I finally have a candidate. ✔️,0,0
Bottomupaproach,@StandardKenya Story za jaba and other short stories 🕺,0,0
terernicholas82,@StandardKenya Bangi kweli ni mbaya,0,0
francisolala,@StandardKenya Punguza bangi kwanza.,0,0
DrugAddict_Ke,@StandardKenya @WanjiruJon This's the man 👍👍,0,0
delvis_8,@StandardKenya Wajackoyah wa bangi.,0,0
bonifacemutiso,@StandardKenya What will be working while the constitution is on suspension for 6 months!?,2,0
OwandaVincent,@StandardKenya Is this guy 👦 insane? Suspend constitution for the first 6 months. Is he going to get into the offic… https://t.co/dhza3in1gQ,0,0
Sirwillon,@StandardKenya Kenya is not ready for criminal gangs and drug cartel,0,0
Rebel_Phari,@StandardKenya So far majority of the people believes bhangi makes people go crazy hence if 51% of the votes came f… https://t.co/A3wYqkM22o,2,0
GiddyBlackman,@StandardKenya Tibiim 🤣🤣🤣,0,0
anti_saiyan,"@StandardKenya He lost me at suspend the constitution for 6 months
Haha those are the makings of a tyrant",0,0
Aminovic64,@StandardKenya Not serious. Kuna watu mang’ombe n they are professors.,0,0
Vyicks,@StandardKenya What else... Finally I have my Azimio,0,0
ankohare,@StandardKenya Weed'excellency wa'jah ckoyah.🤘,0,0
DJM97899753,@StandardKenya Let me break my ribs 😂🤣😂🤣😂🤣😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂😂😂😂😂,0,0
Swagger48452441,@StandardKenya https://t.co/ajBnaXw5oy,0,0
k_onunda,@StandardKenya So irrelevant,0,0
JohnMug11406814,@StandardKenya https://t.co/r7BUVQV4nW,2,0
SilasToka,@StandardKenya Huyu ndo anajua mahitaji ya mwananchi wa kawaida.,2,0
BaksEzy,@StandardKenya Baaaas😂😂,1,0
msmugai,@StandardKenya Ooooh!!! But then he has more than assmio...I can be a prime minister u say???? And stoned too!!! Co… https://t.co/aJ25ruckRE,0,0
BosubenSteve,@StandardKenya Wa~joke~yah???,1,0
JohnMug11406814,@StandardKenya Viva!,1,0
DaudiMeah,@StandardKenya Wajackoyah the 5th,1,0
OokoAmimo,@StandardKenya We have a president already 🤣🤣🤣🤣🤣🤣🤣🤣.,1,0
KosioPablo,@StandardKenya https://t.co/aqntJeTYKI,1,0
Iamededdy,@StandardKenya This will make a good 5th.. suspension of the constitution not good though,2,0
ngure_steph,@StandardKenya At least huyu msee Ako honest na kabisa anaona the amount of money yenye inaenda waste...ongeza mhes… https://t.co/238m9UAhog,1,0
Kayahwe1,@StandardKenya Wajackoyah the 5th!..he was the 5th person to surpport fangi😂😂,3,0
BRAN_K0,"@StandardKenya @earlygetter_ just dropped
THISSHIT
today
if u don't like it you can tell your momma
https://t.co/JGth8KsclZ",0,0
Kayahwe1,@StandardKenya Tell the Prof to UN-WEED...maziwa inaweza saidia saana!,0,0
S_Alfred27,@StandardKenya Before we do this ... How doable is all this ? Any pros of the constitution,1,0
LosifKE,"@StandardKenya @earlygetter_ Finally The Cannabis Consumer have got Prominent representer!
What a win to all WEED branzomart? 🤣",1,0
Kungurukizito,@StandardKenya Suspend the constitution in 6months? Hilarious,1,0
AlfredMusachi,@StandardKenya @MwaiDee Hapo ndio my 🗳 😂😂😂👌,0,0
fnganga1977,@StandardKenya And he looks and sounds like bhangi fanatic! We don't need such fellows.,0,0
EphantusJr,@StandardKenya Professor the 5th,0,0
musunza74,@StandardKenya On legalisation of bhang I support coz it's just refreshing,1,0
mijele2013,@StandardKenya Jokers,0,0
Diana58246083,@StandardKenya Hapo kwa working days prof you have my vote. Wikendi ianze Ijumaa wenzangu.,1,0
Motixavier,@StandardKenya Suspend the constitution...???...always a bad sign...,1,0
VickMUFC,@StandardKenya Iyo mali iende chain chain. Pass it on 🚬🤣🤣,0,0
gareeba_P,@StandardKenya ☺️,0,0
vryxil,@StandardKenya I swear to God I'm electing Wajackoyah,1,0
Kamblossi,@StandardKenya Suspend constitution?,0,0
Rahyym,"@StandardKenya More public holidays dedicated to meditations and making Malawi the 48th county, and Reggae song to replace wimbo wa taifa.",1,0
Abdulat48167439,@StandardKenya The 5th!,0,0
Patriot_em,@StandardKenya Wajackoyah the 5th,1,0
pinto_demorest,@StandardKenya And he is still a professor?,0,0
papa_sharks,@StandardKenya Waah!!..karibu and incase you need a campaigner inbox me tufanye kazi pamoja.,1,0
Zacmach,@StandardKenya Populist,0,0
shaddyaugustine,@StandardKenya The 5th,0,0
NetyaWamukoya,@StandardKenya Luos are mad!,0,0
don_mwas,@StandardKenya @Muiruri_MJ we have the Fifth,0,0
AjowiDavid,@StandardKenya Nowander he is advocating for bhang.,1,0
JesseKihoro,@StandardKenya He is clearly high on something illegal.,0,0
StephenMurimiK,@StandardKenya Problem is weed affect people differently not to mention lack of quality control. Laziness will go up nationally.,1,0
Lorde102,@StandardKenya @_Brian_KE 😂😂😂😂the fifth huyu hapa!,1,0
