User,Reply,Likes,Retweets
Salimsheikh7684,@kipmurkomen @ngaruiyacharles The odm cows will understand this important notice when it's too late.,0,0
Njunge41205420,"@kipmurkomen Once one gets the levers of power he can't be anybody's puppet. In DRC Kabila thought he had a puppet, not for long.",0,0
MrOdili3,@kipmurkomen At Murkmen A Mkono is still a lion and The Age the Age is an error if that is the law. When you peg a… https://t.co/sQL7x1DNGR,0,0
RGNkenyaltd,"@kipmurkomen Be that as it may,@RailaOdinga  will be the 5th president of the republic of Kenya.Just explain to the… https://t.co/Bd68S4WyWX",0,0
Simon72232725,@kipmurkomen Bizibody will talk mischana usiku watalala,0,0
kamaa_charles,@kipmurkomen Ask your mother will tell the fact,0,0
Frankli72624866,"@kipmurkomen If ruto can't protect the business interest of uhuru, he has to run to raila for the same. How will ru… https://t.co/6U7U9Ku16U",1,0
felix_attoh,@kipmurkomen Who asked you all this again????,0,0
NewtonMalloh,@kipmurkomen So you have been reduced to a conspiracy theorist. Anyway at least let us see how a puppet president l… https://t.co/oEyYpICQSm,0,0
AgutoBrian,@kipmurkomen Shut up you monster 👾,0,0
omuonojnr,@kipmurkomen Focus on your wheelbarrow and earthquake,0,0
djmadafrica,"@kipmurkomen What is wrong with Uhuru endorsing Raila?

Even Obama did endorse Bidden.

Uhuru is very sober and hav… https://t.co/SUUtL7C7mP",0,0
VKimuma,@kipmurkomen Weta and musalia wanapelekwa mbio https://t.co/ujVHLWBXcN,2,1
NjauWaina,@kipmurkomen There is no law stopping Uhuru from desiring to be anything else other than the president.,0,0
MutwiriOsalome,@kipmurkomen I thought you said the only Jubilee you know is Jubilee Insurance.Maajabu!,0,0
tobiasochieng21,@kipmurkomen ODM sill strong can't be the 4th party as you say,0,0
JAMESKI52470111,"@kipmurkomen .Mheshimiwa umesahau UDA walikataa kazi wakaanza kutangatanga,4yrs kuacha mzee akichapa job mansolo!!!!",0,0
gowey_maber,@kipmurkomen Ujawacha kucampaign izi street...hit the road ama io the 5th utaskia kwa Viu sasa,0,0
Manuumauu1,@kipmurkomen @ahmednasirlaw 30 mps it will a tough task .jubilee has lost the ground fully .,0,0
kiplagatlaban14,@kipmurkomen It's true uhuru kenyatta setting security fr the family acquired wealth through wrong pop procedure he will still  dump raila,0,0
ScoobEDoo2,@kipmurkomen No one cares whether Raila is a puppet or not. What Kenyans care about is that we do not bring back th… https://t.co/wsEqxDlTEp,1,0
Atise_Moni,@kipmurkomen Is that murkomen calling BABA a puppet? https://t.co/QU7ZHXUacm,1,0
AmadiOnacha,"@kipmurkomen Murkomen what have you done to  stop cattle wrestling in your Elgeyo Marakwet County,when last did you… https://t.co/QiHZP9roFe",0,0
SMatuti,"@kipmurkomen Welcome to the the opposition, you will officially be a blogger there! No lies against H.E Uhuru Kenya… https://t.co/DOb7OsUolj",0,0
Solo28114636,"@kipmurkomen These panadols you take for your chief opponent, Jakom are now a dangerous overdose. You are certainly… https://t.co/hWG7FD55RQ",0,0
benson18469718,@kipmurkomen Mind your own...leave baba alone,0,0
shadds2017,@kipmurkomen As long as Baba is the 5th anything else will follow the suit,0,0
Miruka001,@kipmurkomen Wewe ulitunyima kakitu kakamega,0,0
morintat_i,@kipmurkomen Man City😂😂,0,0
giro_tari,@kipmurkomen Mulimba baba anchezwa ho tuko na namaba sasa ni azimio,0,0
Kenodhiss,@kipmurkomen https://t.co/IIGmTlKtYb,0,0
RobjunLimited,@kipmurkomen @luhya_pounds https://t.co/n71HQhSN5S,0,0
githenyajr,"@kipmurkomen if baba becomes president, how will you be on his toes or you'll babysit like you people always do .No… https://t.co/vRM8GQ7l03",0,0
ScoobEDoo2,@kipmurkomen And why are you looters worried? How is this any of your business if ODM is being duped? Tangatanga gr… https://t.co/vTB8PChHbq,0,0
OpiyoOpere,@kipmurkomen Who cares🤷🏿‍♂️anything but a thief and his cronies 🤣🤣,0,0
JAMESKI52470111,@kipmurkomen Tumeonyeshwa njia mhesh let's concentrate on our individual parties and manifestos.Sasa wanajubilee tumepata mwelekeo!!!!,0,0
hum2030,@kipmurkomen We will allow all that as long as raila is elected the 5th president. He already had everything else b… https://t.co/w7kZyR08IJ,0,0
Miller_Milaski,@kipmurkomen shughulika na ya kwako!,0,0
HarryAsy1,@kipmurkomen Correct mhe..,0,0
BenNdolo5,@kipmurkomen Payuka ww....hakuna kitu unasema,0,0
psamlet,"@kipmurkomen Lol. From anacheza Raila, to Anajificha nyuma ya Raila, to ni project, now ni puppet. 😅😅😅.  Nyinyi ni malaya wa ideas.",1,0
pauline80761296,@kipmurkomen Tell us about udaku,0,0
tibermosh,@kipmurkomen Which numbers do you have anyway ??,0,0
HotmaMutinda,@kipmurkomen Really! You are a magician,0,0
KephaMwa,@kipmurkomen Tell your mother this not me,0,0
wickymcomollo,@kipmurkomen Why does Azimio activities bother you that much?,0,0
RobjunLimited,@kipmurkomen https://t.co/n71HQhSN5S,0,0
clevencemj,@kipmurkomen Mlikuwa mmesema by January kutakuwa na nini? ...🤣 🤣 🤣,0,0
Me_Ammo,@kipmurkomen That is yo own opinion 😂 let people's voice be heard come August,0,0
Nichola75057502,@kipmurkomen So what do we do?,0,0
meritei_isaac,@kipmurkomen https://t.co/6dXkzPcmgf,1,1
abunyamwange,@kipmurkomen Baba mpaka statehouse  bwana!,0,0
KweyaMoses,@kipmurkomen Negative publicity is equally good publicity UDA should stop talking negative about Raila and his Azim… https://t.co/8tqevgATdE,0,0
rugunjenga,@kipmurkomen Mahn this is how you will be watching BABA'S inauguration soo just hold on tight https://t.co/sUBrj5F6ma,0,0
DunnOnsongo,@kipmurkomen Nevertheless @UhuruKE is too young to retire. We need him more.,0,0
EricYankee6,@kipmurkomen Am not an ODM supporter but truth be told...ODM existed even before you started your political career.… https://t.co/RHFr9JkzLX,0,0
SamuelN47208284,@kipmurkomen Don't Cry the Way you were Crying in Bunge the Other Day.,0,0
Mwalimu_chris,"@kipmurkomen 🤣 🤣 🤣 Tunaelewa unalia, endelea kulia @kipmurkomen",0,0
MartineTitus,"@kipmurkomen Kipchumba please, keep it at that pace",0,0
andrezcaris,@kipmurkomen What about uda-ku?,0,0
MartineTitus,"@kipmurkomen Nothing new, even us in Uganda tunasema Kenya kwanza",0,0
olifo,@kipmurkomen Why are you whining on behalf of ODM?,1,0
mochama_elijah,@kipmurkomen I thought you told us Raila was being played?you insisted that you've god and the people?haha,0,0
OduolJude,@kipmurkomen Ni Sawa tu,0,0
ogoti_wycliffe,@kipmurkomen Lakini hii bangi nani toa mbegu kwanza,0,0
Hydra59901893,"@kipmurkomen Just a quick question @kipmurkomen if Uhuru says Ruto toshaa"" will he be supporting Ruto or he will be… https://t.co/5z46UDAj3q",0,0
Stopthemadnez,"@kipmurkomen I like it when UDA attacks Uhuru. At least Baba apoe kidogo. Go go boy attack your benefactors,but not baba.",0,0
fesmeta,"@kipmurkomen Project or no project, we are begging Baba to be president.",0,0
john_sanyu,"@kipmurkomen Senator Murkomen, I wonder if you would have said or writren the above if Pr. Uhuru had chosen to supp… https://t.co/yIw9PC19GN",0,0
fels3_explained,@kipmurkomen A theory. You have no facts.,0,0
LemaronJoel,@kipmurkomen Focus on UDA Leave uhuru alone ..,0,0
HezronDede,"@kipmurkomen You can never be of any use apart from talking 0% errors with running mouth,bure kabisa!!",0,0
RaoTanoFresh,@kipmurkomen https://t.co/s4LW05iT6t,0,0
Vicktor37117184,@kipmurkomen https://t.co/4BuJcxQCvi,0,0
AbdifatahKerow5,"@kipmurkomen So you approved Railas presidency
Facts are coming by itself",0,0
KinyanjuiJose16,@kipmurkomen Mbwa we kipmeno community,0,0
Luckylukebn,@kipmurkomen Why are you bitter 🤷🏽‍♂️,0,0
EdwinLimo001,"@kipmurkomen Yeah, this is true Uhuru wants to be in charge of the next government just like tuju and murat he in jubilee",0,0
KennedyOkongo4,@kipmurkomen Kenya Kwanza is a composition of professional liars!!!,0,0
IddiShiJay,"@kipmurkomen Whatever it is Mr murkomeno, so long as baba becomes president. Whether a puppet or wott bora tu Jina… https://t.co/fhqE3w2f5t",12,0
maxmelody92,@kipmurkomen Orengo warned you,2,0
Bartowee,"@kipmurkomen It is clear,you are bitter that Uhuru did not keep his ""kumi yenu promise""",0,0
_daggyavelli,@kipmurkomen Why do you care?,0,0
Kolekkennah,@kipmurkomen The last I had your team aren't interested in youths but only 5years,0,0
Joel_prophet,"@kipmurkomen @Joel_prophet 
Black and white lie 
@TheODMparty is a super party",0,0
kaninikega1,@kipmurkomen Thot you had said Jubilee died.. at least you acknowledge we shall have mps...,35,1
Carlkefa,"@kipmurkomen Mhesh, a single statehouse meeting with youths imewauma sana. Raila has enough advisors, he doesnt nee… https://t.co/dLL8yEoIfD",0,0
AlioOsman4,"@kipmurkomen I thought you should be happy , why are you crying ?",0,0
OlubayiJared,@kipmurkomen You need to heal 😅 You'll run mad because of bitterness,0,0
Wens87366885,"@kipmurkomen @ahmednasirlaw Pata zawadi Yako extra‼️
❇️Best quality suits
❇️ Executive suits
❇️Cotton fabric
❇️Both… https://t.co/c7qNNaIqsA",0,0
RonKefa,"@kipmurkomen Your beef is that the ""puppet"" is not from Sugoi.",0,0
KilaBalli,"@kipmurkomen @ahmednasirlaw So why are you worried about a candidate who, by your calculations, is headed to defeat… https://t.co/BqhVGBnK99",0,0
Lastbornsylo,@kipmurkomen Bora Baba awe Rais was Kenya we are not bothered by the majority party tag,0,0
10_mwangi,@kipmurkomen Kipchumba has accumulated alot of wealth the last 9years for being close to power. He benefited from t… https://t.co/1k7nphqXPI,1,0
Mungacch,@kipmurkomen From where I sit UK is the smartest president we've ever had. He has seen the mistake Emilio imposed o… https://t.co/dCjl774l8g,0,0
MichaelWesong12,@kipmurkomen Who cares mdomo bagi organize your on hse.,0,0
GraceOmweri,"@kipmurkomen Wewe murkomen my 5thRaila has never ,and will never be any body's puppet.infact he is the people's pro… https://t.co/WFMTmbAkt4",0,0
Samnchezs,@kipmurkomen Kula ndimu,0,0
OkothOgony,@kipmurkomen Your boss installed puppets during 2017 election.,0,0
PatrickMuchai2,"@kipmurkomen So? And you expect us to leak your,....???",0,0
TMwaks,@kipmurkomen Who cares. We good as long as we are not led by a tribal chief and the face of corruption. That's too… https://t.co/uP7YFZq4z5,0,0
DKiuna,"@kipmurkomen If the goings on of the current affairs of the land is anything to go by, I hate to imagine any leader… https://t.co/UJ5MgtydmY",1,1
KEVINGITHINJI9,@kipmurkomen Siskii,0,0
Silas96894082,@kipmurkomen Wewe tuambie what role you played in NYS season 1 scandal.,0,0
LawrenceMwani20,@kipmurkomen We Kenyans are good with this. @kipmurkomen,1,0
JackieWaffs,@kipmurkomen We had a kalenjin president for 24 years. That is enough. Next we will go western or coast. I don't kn… https://t.co/lcTZ4t09Da,4,0
ridgerm69,@kipmurkomen People here talking like @RailaOdinga doesn't have his own mind.,0,0
Zulu56258160,@kipmurkomen The tune keeps on changing. I thought you said RAO is being played,0,0
Sen2027N,@kipmurkomen The words Raila and puppet cannot be in the same sentence,0,0
KipkoechNgeti16,@kipmurkomen The people you are representing as sanator are dying of hunger and insecurity...deal with that first b… https://t.co/545bgYu2cT,3,1
Lexbetts,"@kipmurkomen Now stop crying 🤣🤣 and say that again, slowly Kwa kipoole. And listen to how loudly you keep lying to yourself ☺️😉",0,0
SonOfKisumu,"@kipmurkomen Embobut villager, first:
1. So Raila is no longer being played.
2. Now if Uhuru supported Ruto,continu… https://t.co/RAyG7F7hHl",1,1
Esther33645227,@kipmurkomen How do we know🤔🤔,0,0
OliverM66608894,"@kipmurkomen Yaani wewe unaona kama Baba anaeza kuwa puppet..?..kuwa tayari hapo opposition,mkileta upuzi mtajua hamjui..",0,0
TambaraGeoff,"@kipmurkomen 🤣😂 UDA FAILED SONGS:
• Raila is being played!
• ODM is being reduced to Luo Party.
• There's a plot to… https://t.co/dlFCbpDncu",0,0
DanielIkovo7,@kipmurkomen @ahmednasirlaw I agree with you there,0,0
